s4_equi_class,s4_equi_char,pdt_field_name
FSTNLS,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNLS,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNME,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNME,FSTN_PIPE_DIAMETER_MM,Pipe Diameter (mm)
FSTNME,FSTN_RANGE_MAX,Range Max
FSTNME,FSTN_RANGE_MIN,Range Min
FSTNME,FSTN_RANGE_UNITS,Range Unit
FSTNME,FSTN_VISUAL_INDICATOR,
FSTNMISC,FSTN_FIELD_VALIDATION_DEVICE,Field Validation Compatible
FSTNMISC,IP_RATING,IP Rating
FSTNMISC,FSTN_SIGNAL_TYPE,
FSTNMISC,FSTN_OUTPUT_TYPE,Output Signal Type
FSTNMISC,FSTN_PIPE_DIAMETER_MM,Pipe Diameter (mm)
FSTNMISC,FSTN_PULSE_CUTOFF,Pulse Cutoff
FSTNMISC,FSTN_PULSE_FACTOR,Pulse Factor
FSTNMISC,FSTN_PULSE_MAX,Pulse Max
FSTNMISC,FSTN_RANGE_MAX,Range Max
FSTNMISC,FSTN_RANGE_MIN,Range Min
FSTNMISC,FSTN_RANGE_UNITS,Range Unit
FSTNMISC,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNMISC,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNMISC,FSTN_SENS_CALIBRATION_FACTOR_1,Sensor Calibration Factor 1
FSTNMISC,FSTN_SENS_CALIBRATION_FACTOR_2,Sensor Calibration Factor 2
FSTNMISC,FSTN_SENS_CALIBRATION_FACTOR_3,Sensor Calibration Factor 3
FSTNMISC,FSTN_SENS_CALIBRATION_FACTOR_4,Sensor Calibration Factor 4
FSTNMISC,FSTN_SPECIFIC_ORDER_CODE,Specific Order Code
FSTNMISC,FSTN_TRANSDUCER_MODEL,Transducer Model
FSTNMISC,FSTN_TRANSDUCER_SERIAL_NO,Transducer Serial No
FSTNMISC,FSTN_TRANSMITTER_MODEL,Transmitter Model
FSTNMISC,FSTN_TRANSMITTER_SERIAL_NO,Transmitter Serial No
FSTNMISC,FSTN_VISUAL_INDICATOR,
FSTNOC,IP_RATING,IP Rating
FSTNOC,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNOC,FSTN_RANGE_MAX,Range Max
FSTNOC,FSTN_RANGE_MIN,Range Min
